"publisher","name","align","eye","hair","sex","alive","appearances","year"
"dc","Batman (Bruce Wayne)","Good","Blue","Black","Male","Living",3093,1939
"dc","Superman (Clark Kent)","Good","Blue","Black","Male","Living",2496,1986
"dc","Green Lantern (Hal Jordan)","Good","Brown","Brown","Male","Living",1565,1959
"dc","James Gordon (New Earth)","Good","Brown","White","Male","Living",1316,1987
"dc","Richard Grayson (New Earth)","Good","Blue","Black","Male","Living",1237,1940
"dc","Wonder Woman (Diana Prince)","Good","Blue","Black","Female","Living",1231,1941
"dc","Aquaman (Arthur Curry)","Good","Blue","Blond","Male","Living",1121,1941
"dc","Timothy Drake (New Earth)","Good","Blue","Black","Male","Living",1095,1989
"dc","Dinah Laurel Lance (New Earth)","Good","Blue","Blond","Female","Living",1075,1969
"dc","Flash (Barry Allen)","Good","Blue","Blond","Male","Living",1028,1956
"dc","GenderTest","Good","Blue","Blond","Female","Living",1028,1956
"dc","Alan Scott (New Earth)","Good","Blue","Blond","Male","Deceased",969,1940
"dc","Barbara Gordon (New Earth)","Good","Blue","Red","Female","Living",951,1967
"dc","Jason Garrick (New Earth)","Good","Blue","Brown","Male","Living",951,1940
"dc","Lois Lane (New Earth)","Good","Blue","Black","Female","Living",934,1938
"dc","Alfred Pennyworth (New Earth)","Good","Blue","Black","Male","Living",930,1943
"dc","Carter Hall (New Earth)","Good","Blue","Brown","Male","Living",803,1940
"dc","Kyle Rayner (New Earth)","Good","Green","Black","Male","Living",716,1994
"dc","Roy Harper (New Earth)","Neutral","Green","Red","Male","Living",654,1941
"dc","Kara Zor-L (Earth-Two)","Good","Blue","Blond","Female","Living",635,1976
"dc","Garfield Logan (New Earth)","Good","Green","others","Male","Living",595,1965
"dc","Guy Gardner (New Earth)","Good","Blue","Red","Male","Living",593,1968
"dc","Victor Stone (New Earth)","Good","Brown","Black","Male","Living",584,1980
"dc","Kon-El (New Earth)","Good","Blue","Black","Male","Living",560,1993
"dc","James Olsen (New Earth)","Good","Green","Red","Male","Living",557,1986
"dc","John Stewart (New Earth)","Good","Brown","Black","Male","Living",549,1971
"dc","Joker (New Earth)","Bad","Green","others","Male","Living",517,1940
"dc","Garth (New Earth)","Good","others","Black","Male","Deceased",487,1960
"dc","Zatanna Zatara (New Earth)","Good","Blue","Black","Female","Living",439,1964
"dc","Michael Jon Carter (New Earth)","Good","Blue","Blond","Male","Living",427,1986
"dc","Cassandra Sandsmark (New Earth)","Good","Blue","Blond","Female","Living",423,1996
"dc","Kent Nelson (New Earth)","Good","Blue","Blond","Male","Deceased",422,1940
"dc","Harvey Bullock (New Earth)","Good","Brown","Black","Male","Living",413,1974
"dc","Rachel Roth (New Earth)","Good","others","Black","Female","Living",399,1980
"dc","Helena Bertinelli (New Earth)","Good","Blue","Black","Female","Living",393,1989
"dc","Wesley Dodds (New Earth)","Good","Brown","Brown","Male","Deceased",391,1939
"dc","Nathaniel Adam (New Earth)","Good","Blue","White","Male","Living",386,1987
"dc","John Constantine (New Earth)","Good","Blue","Blond","Male","Living",371,1984
"dc","Albert Pratt (New Earth)","Good","Blue","Red","Male","Deceased",370,1940
"dc","Theodore Knight (New Earth)","Good","Brown","Brown","Male","Deceased",356,1941
"dc","Lobo (New Earth)","Neutral","Red","Black","Male","Living",353,1983
"dc","Slade Wilson (New Earth)","Neutral","Blue","White","Male","Living",336,1980
"dc","Beatriz da Costa (New Earth)","Good","Green","others","Female","Living",325,1982
